Project ID,Record ID,Title,Datasets Used,is_flagged,opus_substantive_domains,opus_linkage_mode,opus_analytical_purpose,opus_primary_domain,sonnet_substantive_domains,sonnet_linkage_mode,sonnet_analytical_purpose,sonnet_primary_domain,domain_match,linkage_match,purpose_match,all_layers_match,review_status,preferred_model,final_domain,final_linkage,final_purpose,review_notes
2023/066,2023/066,Vaccination heterogeneity within social networks,"Office for National Statistics, University of Oxford, NHS England: COVID-19 Infection Survey linked to Combined Vaccination - UK
ONS; University of Oxford; DHSC: COVID-19 Infection Survey linked to NHS Test and Trace - England
Department of Health and Social Care: Schools Daily Contact Testing - England
Office for National Statistics: Opinions and Lifestyle Survey - Great Britain, COVID-19 Vaccine Opinions Survey - England, Labour Force Survey Household - UK, COVID-19 Schools Infection Survey - England, COVID-19 Schools Infection Survey linked with Test and Trace - England
UKHSA: NHS Test and Trace - England and Wales
Office for National Statistics, University of Oxford: COVID-19 Infection Survey - UK
Institute for Economic and Social Research: Understanding Society - UK",False,COVID-19 & Pandemic; Health & Social Care,Multi-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic,COVID-19 & Pandemic; Health & Social Care,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,COVID-19 & Pandemic,True,False,False,False,,,,,,
2023/072,2023/072,Exploring the life course patterns and family justice experience of young mothers involved in recurrent care proceedings in England,"Ministry of Justice: Children and Family Court Advisory and Support Service (CAFCASS England), Family Man",False,Crime & Justice; Health & Social Care,Within-Domain Linkage,Life-Course / Trajectory Analysis; Service Interaction / Systems Analysis,Crime & Justice,"Crime & Justice; Health & Social Care; Gender, Race & Ethnicity",Single-Dataset,Life-Course / Trajectory Analysis; Service Interaction / Systems Analysis,Crime & Justice,False,False,True,False,,,,,,
2023/083,2023/083,"Effects of Austerity Policies on Public Goods, Local Amenities, and Individual Behaviour","Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics: Business Structure Database - UK",False,Public Finance & Taxation; Business & Productivity,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,Public Finance & Taxation,"Public Finance & Taxation; Poverty, Inequality & Living Standards",Cross-Domain Linkage,Policy Evaluation / Impact Analysis,Public Finance & Taxation,False,True,True,False,,,,,,
2023/086,2023/086,Efficiency and productivity of UK firms,"Office for National Statistics: Annual Business Survey - UK, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK, Low Carbon and Renewable Energy Economy Survey - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Business & Productivity,True,True,False,False,,,,,,
2023/087,2023/087,Austerity and household debt,"Office for National Statistics: Wealth and Assets Survey - Great Britain, Living Costs and Food Survey - UK",False,"Poverty, Inequality & Living Standards; Public Finance & Taxation",Within-Domain Linkage,Policy Evaluation / Impact Analysis,"Poverty, Inequality & Living Standards","Poverty, Inequality & Living Standards; Public Finance & Taxation",Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,"Poverty, Inequality & Living Standards",True,True,False,False,,,,,,
2023/170,2023/170,Tax and benefit microsimulation,"Office for National Statistics: Annual Population Survey Household, Annual Population Survey, British Election Panel Study, British Household Panel Survey, British Local Election Database, Childcare and Early Years Provision: Providers' Survey, English Longitudinal Study of Ageing, Expenditure and Food Survey, Family Expenditure Survey, Family Resources Survey, General Household Survey, Health and Lifestyle Survey, Health Survey for England, Households Below Average Income, International Passenger Survey, Labour Force Survey Two-Quarter Longitudinal Dataset, Labour Force Survey, Living Costs and Food Survey, National Travel Survey, ONS Omnibus Survey, Quarterly Labour Force Survey Household Dataset, Quarterly Labour Force Survey, Survey of Personal Incomes, Understanding Society: COVID-19 Study, Understanding Society: Innovation Panel",False,"Public Finance & Taxation; Poverty, Inequality & Living Standards",Within-Domain Linkage,Methodological / Infrastructure Research,Public Finance & Taxation,"Public Finance & Taxation; Poverty, Inequality & Living Standards",Within-Domain Linkage,Descriptive Monitoring,Public Finance & Taxation,True,True,False,False,,,,,,
2023/176,2023/176,Analysis of UK international trade performance and drivers using firm level data.,"Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
Office for National Statistics: International Trade in Services - UK, Annual Business Survey - UK",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Business & Productivity,False,True,False,False,,,,,,
2023/183,2023/183,"Welfare Access, Assets And Debts of LGBT+ People In The UK",Office for National Statistics: Wealth and Assets Survey,False,"Poverty, Inequality & Living Standards; Gender, Race & Ethnicity",Single-Dataset,Descriptive Monitoring; Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards","Poverty, Inequality & Living Standards; Gender, Race & Ethnicity",Single-Dataset,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards",True,True,False,False,,,,,,
2023/209,2023/209,Sustainable Transport Infrastructure and Car Usage: UK Snapshot,Institute for Economic and Social Research: Understanding Society - UK,False,Environment & Agriculture,Single-Dataset,Descriptive Monitoring,Environment & Agriculture,Environment & Agriculture,Single-Dataset,Descriptive Monitoring; Outcome Linkage,Environment & Agriculture,True,True,False,False,,,,,,
2023/231,2023/231,The Transitions of Young Workers in the UK Labour Market,Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,False,Labour Market & Employment,Single-Dataset,Life-Course / Trajectory Analysis,Labour Market & Employment,Labour Market & Employment; Migration & Demographics,Cross-Domain Linkage,Life-Course / Trajectory Analysis,Labour Market & Employment,False,False,True,False,,,,,,
2023/243,2023/243,Microdata Analysis of Productivity,"Office for National Statistics: Annual Business Survey,
Annual Business Inquiry,
Annual Respondents Database (ARD2),
Annual Respondents Database X (ARDX),
Annual Survey of Hours and Earnings (ASHE),
Business Register Employment Survey (BRES),
Business Structure Database (BSD),
Consumer Prices,
Producer Price Index (PPI, EPI, IPI),
E-Commerce Survey,
International Trade in Services,
Investment in Intangible Assets Survey,
Labour Force Survey (Household),
Labour Force Survey (Person),
Labour Force Survey (Longitudinal),
Linked Trade-in-Goods/Inter-Departmental-Business-Register,
Management and Expectations Survey,
Management Practices Survey,
Monthly Business Survey,
Bespoke Data Tables for Project",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,False,True,True,False,,,,,,
2023/261,2023/261,Analysis of distributional consequences and considerations for Monetary Policy,"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Business Register Employment Survey - UK, Living Costs and Food Survey - UK, Business Insights and Conditions Survey - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Wealth and Assets Survey - Great Britain, Vacancy Survey - UK, Consumer and Retail Price Index - UK, Labour Force Survey Person - UK, Business Structure Database - UK
Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics, University of Oxford, NHS England: COVID-19 Infection Survey linked to Combined Vaccination - UK
DWP: Family Resources Survey - UK
Bank of England: Decision Maker Panel - UK",False,"Public Finance & Taxation; Poverty, Inequality & Living Standards",Multi-Domain Linkage,Inequality / Disparities Analysis,Public Finance & Taxation,"Public Finance & Taxation; Labour Market & Employment; Poverty, Inequality & Living Standards; Business & Productivity; COVID-19 & Pandemic",Multi-Domain Linkage,Descriptive Monitoring; Inequality / Disparities Analysis,Public Finance & Taxation,False,True,False,False,,,,,,
2023/273,2023/273,Innovation and Emission Responses to Environmental Regulations,"Office for National Statistics: Annual Business Survey, Annual Inquiry into Foreign Direct Investment, Business Expenditure on Research and Development, Business Register and Employment Survey, Business Structure Database Longitudinal, Business Structure Database, Employer Skills Survey, International Trade in Services, Longitudinal Small Business Survey, Low Carbon and Renewable Energy Economy Survey, Monthly Business Survey, Prices Survey Microdata, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Quarterly Capital Expenditure Survey, Quarterly Fuels Inquiry, Research and Development Expenditures and Subsidies, Firm Productivity, Employment Creation and Survival, UK Innovation Survey",False,Environment & Agriculture; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,Business & Productivity; Environment & Agriculture,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,False,True,True,False,,,,,,
2024/003,2024/003,Investigating the characteristics of business investment using firm-level microdata,"Office for National Statistics: Annual Business Survey - GB, Annual Respondents Database 2 - UK, Annual Respondents Database x - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, Consumer and Retail Price Index - UK, Management Practices Survey - Great Britain, Producer Price Index - UK, Bespoke Management and Expectations Survey, Annual Purchases Survey - UK, Business Insights and Conditions Survey - UK
DBT: UK Innovation Survey, Longitudinal Inter-Departmental Business Register - UK",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Business & Productivity,True,True,False,False,,,,,,
2024/016,2024/016,"ESCoE 2.5 - Management practices, business uncertainty and their impact on productivity.","Office for National Statistics: Annual Business Survey - GB, Annual Respondents Database 2 - UK, Annual Respondents Database x - UK, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK, E-commerce and Digital Economy Survey - UK, Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK, Management Practices Survey - Great Britain, Bespoke Management and Expectations Survey, Annual Purchases Survey - UK, Annual Survey of Hours and Earnings - UK, International Trade in Services - UK, Annual Population Survey - UK, Business Insights and Conditions Survey - UK
DBT: UK Innovation Survey
Department For Education: Employer Skills Survey and Investment in Training - UK",False,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,Business & Productivity,False,True,True,False,,,,,,
2024/044,2024/044,Regional trade integration and the anti-globalisation backlash,"Office for National Statistics: Annual Business Survey - GB, Annual Business Inquiry - GB",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Business & Productivity,True,True,False,False,,,,,,
2024/050,2024/050,Impact of labour market constraints on maternal labour supply,"Office for National Statistics: 
Annual Population Survey Household,
Annual Population Survey,
Quarterly Labour Force Survey, 
Business Structure Database,
Labour Force Survey Household Datasets",False,"Labour Market & Employment; Gender, Race & Ethnicity",Within-Domain Linkage,Outcome Linkage,Labour Market & Employment,"Labour Market & Employment; Gender, Race & Ethnicity",Within-Domain Linkage,Outcome Linkage; Inequality / Disparities Analysis,Labour Market & Employment,True,True,False,False,,,,,,
2024/057,2024/057,The Role of Trade Agreements in Facilitating Digital Trade,"Office for National Statistics: International Trade in Services - UK, Annual Business Survey - GB, Business Insights and Conditions Survey - UK, E-commerce and Digital Economy Survey - UK, Business Structure Database - UK",False,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Business & Productivity,True,True,False,False,,,,,,
2024/070,2024/070,The Labour Market Impacts of Brexit,"Office for National Statistics:
Annual Business Survey,
Annual Respondents 
Database 2,
Annual Survey of Hours 
and Earnings,
Annual Survey of Hours 
and Earnings Longitudinal,
Business Enterprise 
Research and 
Development  Great 
Britain,
Business Enterprise 
Research and 
Development  ­ Northern 
Ireland,
Business Register 
Employment Survey,
Business Structure 
Database,
Census 2011 Individual  ­ 
England and Wales,
Census 2011 Individual  ­ 
Northern Ireland,
Census 2011 Individual  ­ 
Scotland,
Consumer and Retail Price 
Index,
Labour Force Survey 
Longitudinal,
Labour Force Survey 
Person,
Quarterly Acquisitions and 
Disposals of Capital 
Assets Survey,
Quarterly Capital 
Expenditure Survey,
Department for Business, Energy & Industrial Strategy: 
UK Innovation Survey
",False,Labour Market & Employment; Business & Productivity,Multi-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment,Labour Market & Employment; Business & Productivity; Migration & Demographics,Multi-Domain Linkage,Policy Evaluation / Impact Analysis; Outcome Linkage,Labour Market & Employment,False,True,False,False,,,,,,
2024/092,2024/092,Cumulative Disadvantage in the Criminal Justice System,"Ministry of Justice: RETIRED Ministry of Justice Data First Magistrates Court Defendant - England and Wales, Ministry of Justice Data First Crown Court Defendant - England and Wales, Ministry of Justice Data First Family Court - England and Wales, Ministry of Justice Data First Prisoner Custodial Journey - England and Wales, Retired Ministry of Justice Data First Probation - England and Wales, MoJ Data First cross-justice system linking dataset England and Wales",False,Crime & Justice,Within-Domain Linkage,Life-Course / Trajectory Analysis,Crime & Justice,Crime & Justice,Within-Domain Linkage,Service Interaction / Systems Analysis; Inequality / Disparities Analysis,Crime & Justice,True,True,False,False,,,,,,
2024/094,2024/094,Revealing Social Mobility,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",False,Education & Skills; Labour Market & Employment,Single-Dataset,Life-Course / Trajectory Analysis; Inequality / Disparities Analysis,Education & Skills,"Education & Skills; Labour Market & Employment; Poverty, Inequality & Living Standards",Single-Dataset,Life-Course / Trajectory Analysis; Inequality / Disparities Analysis,Education & Skills,False,True,True,False,,,,,,
2024/109,2024/109,London childcare demand,Department For Education: Childcare and Early Years Survey of Parents - England,False,Education & Skills,Single-Dataset,Descriptive Monitoring,Education & Skills,"Education & Skills; Poverty, Inequality & Living Standards",Single-Dataset,Descriptive Monitoring; Policy Evaluation / Impact Analysis,Education & Skills,False,True,False,False,,,,,,
2024/118,2024/118,"Multimorbidity and Pregnancy: Determinants, Clusters, Consequences and Trajectories (MuM-PreDiCT)",SAIL Databank Databank: Census 2011,False,Health & Social Care,Single-Dataset,Life-Course / Trajectory Analysis,Health & Social Care,Health & Social Care,Single-Dataset,Descriptive Monitoring; Life-Course / Trajectory Analysis,Health & Social Care,True,True,False,False,,,,,,
2024/119,2024/119,"Analysis of domestic violence, sexual violence and stalking of older adults (aged 60-74)",Office for National Statistics: Crime Survey for England and Wales,False,Crime & Justice,Single-Dataset,Descriptive Monitoring,Crime & Justice,"Crime & Justice; Gender, Race & Ethnicity",Single-Dataset,Descriptive Monitoring; Inequality / Disparities Analysis,Crime & Justice,False,True,False,False,,,,,,
2024/120,2024/120,Cystic Fibrosis Genomics data,SAIL Databank Databank: Census 2021,False,Health & Social Care,Single-Dataset,Descriptive Monitoring,Health & Social Care,Health & Social Care,Single-Dataset,Unclear from Title,Health & Social Care,True,True,False,False,,,,,,
2024/125,2024/125,"Exploring health and social inequalities in exposure to outdoor volatile organic compounds (VOCs) concentrations across Leicester, UK.",Office for National Statistics: Annual Population Survey - UK,False,"Environment & Agriculture; Health & Social Care; Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis,Environment & Agriculture,"Health & Social Care; Environment & Agriculture; Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis,Health & Social Care,False,True,True,False,,,,,,
2024/126,2024/126,Firming Up Technology Trade,"Office for National Statistics: Business Structure Database - UK, Business Enterprise Research and Development - Great Britain, Annual Survey of Hours and Earnings - GB, International Trade in Services - UK, Annual Respondents Database x - UK, Annual Survey of Hours and Earnings Longitudinal - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
DBT: UK Innovation Survey",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Business & Productivity,False,True,False,False,,,,,,
2024/148,2024/148,Returning to learning for Level 2 achievers - similarities and differences,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",False,Education & Skills,Single-Dataset,Descriptive Monitoring,Education & Skills,Education & Skills; Labour Market & Employment,Single-Dataset,Life-Course / Trajectory Analysis,Education & Skills,False,True,False,False,,,,,,
2024/215,2024/215,Tackling child health inequality. An interventional epidemiology platform to inform policy.,NHS; DfE: Education and Child Health Insights from Linked Data - England,False,Health & Social Care; Education & Skills,Cross-Domain Linkage,Inequality / Disparities Analysis; Policy Evaluation / Impact Analysis,Health & Social Care,Health & Social Care; Education & Skills,Cross-Domain Linkage,Policy Evaluation / Impact Analysis; Inequality / Disparities Analysis,Health & Social Care,True,True,False,False,,,,,,
2025/005,2025/005,The application of the Insanity defence (Not Guilty by Reason of Insanity) in Crown Courts in England and Wales,Ministry of Justice: Ministry of Justice Data First Crown Court Iteration 2 - England and Wales,False,Crime & Justice,Single-Dataset,Descriptive Monitoring,Crime & Justice,Crime & Justice; Health & Social Care,Single-Dataset,Descriptive Monitoring,Crime & Justice,False,True,True,False,,,,,,
2025/043,2025/043,Impact evaluation of Innovate UK Fast Start Programme,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database, Business Enterprise Research and Development",False,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,False,True,True,False,,,,,,
2025/072,2025/072,Mapping the Northern Ireland Labour Market,Office for National Statistics: Labour Force Survey Person - UK,False,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,Labour Market & Employment,Labour Market & Employment; Migration & Demographics,Single-Dataset,Descriptive Monitoring,Labour Market & Employment,False,True,True,False,,,,,,
2025/079,2025/079,"Birth and Beyond: Delivery Modes, Maternal Health, and Child Development in England",NHS; DfE: Education and Child Health Insights from Linked Data - England,False,Health & Social Care; Education & Skills,Single-Dataset,Outcome Linkage,Health & Social Care,Health & Social Care; Education & Skills,Cross-Domain Linkage,Outcome Linkage,Health & Social Care,True,False,True,False,,,,,,
2025/123,2025/123,Perinatal Health: Risks and Social Ecological Systems (PHRaSES),NHS; DfE: Education and Child Health Insights from Linked Data Research Database - England,False,Health & Social Care,Single-Dataset,Outcome Linkage,Health & Social Care,Health & Social Care; Education & Skills,Cross-Domain Linkage,Outcome Linkage,Health & Social Care,False,False,True,False,,,,,,
2025/131,2025/131,Transforming Justice: The Interplay of Social Change and Policy Reforms,Ministry of Justice: Data First Family Court,False,Crime & Justice,Single-Dataset,Policy Evaluation / Impact Analysis,Crime & Justice,Crime & Justice,Single-Dataset,Descriptive Monitoring,Crime & Justice,True,True,False,False,,,,,,
2025/138,2025/138,"HALO­ECHILD project; educational, mental health and social outcomes of young survivors of sickle cell disorder and beta­thalassaemia",NHS; DfE: Education and Child Health Insights from Linked Data,False,Health & Social Care; Education & Skills,Single-Dataset,Outcome Linkage,Health & Social Care,Health & Social Care; Education & Skills,Cross-Domain Linkage,Outcome Linkage,Health & Social Care,True,False,True,False,,,,,,
2025/165,2025/165,"Cities, income and wealth","Office for National Statistics: Annual Survey of Hours and Earnings - UK,  Living Costs and Food Survey - UK, Understanding Society - UK, Wealth and Assets Survey - Great Britain",False,"Poverty, Inequality & Living Standards",Within-Domain Linkage,Descriptive Monitoring,"Poverty, Inequality & Living Standards","Poverty, Inequality & Living Standards; Labour Market & Employment",Within-Domain Linkage,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards",False,True,False,False,,,,,,
2025/202,2025/202,Rising Inequality: A Closer Look at the Firm Dynamics Behind Earnings Disparities,"Office for National Statistics: Business Structure Database UK, 
Annual Business Survey GB, 
Longitudinal Business Database UK,
Annual Survey of Hours and Earnings 
Longitudinal - UK",False,"Labour Market & Employment; Poverty, Inequality & Living Standards; Business & Productivity",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment,"Labour Market & Employment; Business & Productivity; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment,False,True,True,False,,,,,,
2025/242,2025/242,Reviewing our Measurement Framework and conducting a data quality review to ensure that our data sources are of a high quality and all protected characteristics are available for analysis ahead of the next Statutory report.,"Office for National Statistics: Labour Force Survey, Death Registration Data, Annual Population Survey - UK, Annual Survey of Hours and Earnings - UK, Crime Survey for England and Wales, Opinions and Lifestyle Survey",False,"Data Infrastructure & Methodology; Gender, Race & Ethnicity",Within-Domain Linkage,Methodological / Infrastructure Research,Data Infrastructure & Methodology,Data Infrastructure & Methodology,Within-Domain Linkage,Methodological / Infrastructure Research,Data Infrastructure & Methodology,False,True,True,False,,,,,,
2026/013,2026/013,Mobility Restrictions and Innovation,"Office for National Statistics:  UK Innovation Survey, Business Enterprise Research and Development - GB, Annual Survey of Hours and Earnings Linked to PAYE and self-assessment data",False,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,Business & Productivity,True,True,False,False,,,,,,
2026/055,2026/055,"The balance of power: monopsony, unions and wages in the Great Britain using employer employee data","Office for National Statistics: Annual Business Survey - GB,
New Earnings Survey - GB,
Business Structure Database - UK,
Annual Survey of Hours and Earnings - GB,",False,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,True,True,False,False,,,,,,
2019/017,2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey 
Department for Business, Energy & Industrial Strategy: Community Innovation Survey   “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,True,True,True,True,,,,,,
2019/018,2019/018,Foreign Direct Disinvestment: causes and effects,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey 
Department for Business, Energy & Industrial Strategy: Community Innovation Survey   “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",False,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,True,True,True,True,,,,,,
2020/008,2020/008,Contextualised Admissions and University Choice,UCAS: Universities and Colleges Admissions Service ,False,Education & Skills,Single-Dataset,Descriptive Monitoring,Education & Skills,Education & Skills,Single-Dataset,Descriptive Monitoring,Education & Skills,True,True,True,True,,,,,,
2020/011,2020/011,Innovation analysis for Knowledge Transfer Network,"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database  & Longitudinal Business Structure Database 
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,True,True,True,True,,,,,,
2020/037,2020/037,"Zero Hours Contracts: Characteristics, Prevalence and Impacts on Workers","Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey, Labour Force Survey Five-Quarter Longitudinal Dataset  & Annual Population Survey: Well-Being ",False,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,True,True,True,True,,,,,,
2020/046,2020/046,Wage and employment dynamics,"Office for National Statistics: Annual Survey for Hours and Earnings, New Earnings Survey, Annual Survey for Hours and Earnings  / Census  linked dataset, Business Structure Database, Annual Population Survey ",False,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,True,True,True,True,,,,,,
2020/049,2020/049,Evaluation of the Enterprise Capital Funds,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Enterprise Research and Development  & Business Structure Database ",False,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,True,True,True,True,,,,,,
2020/060,2020/060,"The benefits of digital technologies adoption on UK manufacturing businesses: Manufacturing renaissance, servitization and digital technologies' adoption","Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development  & E-commerce Survey 
Department for Business, Energy and Industrial Strategy: UK Innovation Survey ",False,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,True,True,True,True,,,,,,
2020/094,2020/094,Exploring house sharing amongst people aged 30 and over in 2001 and 2011,"Office for National Statistics: Secure Census 2011 England and Wales: Household Sample & Census 2001 Controlled
Access Microdata Samples
",False,Housing & Planning,Within-Domain Linkage,Descriptive Monitoring,Housing & Planning,Housing & Planning,Within-Domain Linkage,Descriptive Monitoring,Housing & Planning,True,True,True,True,,,,,,
2021/149,2021/149,Joint Economic Data Hub ,"Office for National Statistics: Annual Business Survey, Annual Population Survey , Annual Population Survey , Annual Survey of Hours and Earnings, Business Enterprise Research and Development, Business Register Employment Survey, UK Manufacturers' Sales by Product Survey, Linked Trade-in-Goods/IDBR Dataset
Department for Business, Energy & Industrial Strategy: UK Innovation Survey ",False,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,True,True,True,True,,,,,,
2022/061,2022/061,Understanding the impact of migration on population mortality dynamics and cancer risk,Office for National Statistics: Longitudinal Study of England and Wales ,False,Health & Social Care; Migration & Demographics,Single-Dataset,Outcome Linkage,Health & Social Care,Health & Social Care; Migration & Demographics,Single-Dataset,Outcome Linkage,Health & Social Care,True,True,True,True,,,,,,
2022/108,2022/108,The Future of Work and Wellbeing: The Pissarides Review,"Office for National Statistics: Annual Population Survey UK, Annual Survey of Hours and Earnings UK, Labour Force Survey UK ",False,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,True,True,True,True,,,,,,
2022/110,2022/110,"Analysis of domestic violence, sexual violence and stalking of older adults ",Office for National Statistics: Crime Survey for England and Wales ,False,Crime & Justice,Single-Dataset,Descriptive Monitoring,Crime & Justice,Crime & Justice,Single-Dataset,Descriptive Monitoring,Crime & Justice,True,True,True,True,,,,,,
2022/132,2022/132,Northern Ireland Trade Model,"Northern Ireland Statistics and Research Agency: Northern Ireland Annual Business Inquiry , Broad Economy Sales and Exports Statistics  ",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,True,True,True,True,,,,,,
2022/134,2022/134,Modes of Trade in Services,"Office for National Statistics: Annual Business Survey, Annual Foreign Direct Investment Survey, International Trade in Services ",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,True,True,True,True,,,,,,
