claim_id,log_file_name,section_number,parsed_values,source_table,source_cell,source_values_full_precision,comparison_rule_used,status,quantity_label,notes
R185,scratch_coder_figure_revisions_log_pass2.md,D.3,"[""26"", ""129""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 21, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r43 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 21, source_value_string; approved all-label majority total","[[""26"", ""26"", ""26""], [""129""]]",exact,PASS,purpose majority Unclear share of all applications,
R186,scratch_coder_figure_revisions_log_pass2.md,D.1,"[""36""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 14, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r1 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 14, source_value_string","[[""36"", ""36"", ""36""]]",exact,PASS,Descriptive Monitoring majority count,
R187,scratch_coder_figure_revisions_log_pass2.md,D.1,"[""30""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 18, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r25 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 18, source_value_string","[[""30"", ""30"", ""30""]]",exact,PASS,Policy Evaluation / Impact Analysis majority count,
R188,scratch_coder_figure_revisions_log_pass2.md,D.1,"[""19""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 17, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r19 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 17, source_value_string","[[""19"", ""19"", ""19""]]",exact,PASS,Outcome Tracking majority count,
R189,scratch_coder_figure_revisions_log_pass2.md,D.1,"[""26""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 21, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r43 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 21, source_value_string","[[""26"", ""26"", ""26""]]",exact,PASS,Unclear from Register Entry majority count,
R190,scratch_coder_figure_revisions_log_pass2.md,D.1,"[""9""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 15, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r7 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 15, source_value_string","[[""9"", ""9"", ""9""]]",exact,PASS,Life-Course / Trajectory Analysis majority count,
R191,scratch_coder_figure_revisions_log_pass2.md,D.1,"[""7""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 16, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r13 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 16, source_value_string","[[""7"", ""7"", ""7""]]",exact,PASS,Methodological / Infrastructure Research majority count,
R192,scratch_coder_figure_revisions_log_pass2.md,D.1,"[""1""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 19, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r31 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 19, source_value_string","[[""1"", ""1"", ""1""]]",exact,PASS,Risk Prediction / Early Identification majority count,
R193,scratch_coder_figure_revisions_log_pass2.md,D.1,"[""1""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 20, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r37 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 20, source_value_string","[[""1"", ""1"", ""1""]]",exact,PASS,Service Interaction / Systems Analysis majority count,
R194,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""48""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 5, proportion_of_nonidentical_nonempty_pairs","[[""0.47727272727272729""]]",percentage,PASS,domains human pairs relation percentage 1,
R195,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""5""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 6, proportion_of_nonidentical_nonempty_pairs","[[""0.050000000000000003""]]",percentage,PASS,domains human pairs relation percentage 2,
R196,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""47""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 7, proportion_of_nonidentical_nonempty_pairs","[[""0.47272727272727272""]]",percentage,PASS,domains human pairs relation percentage 3,
R197,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""220""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 5, nonidentical_nonempty_pairs","[[""220""]]",exact,PASS,domains human pairs eligible pairs,
R198,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""52""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 11, proportion_of_nonidentical_nonempty_pairs","[[""0.51758793969849248""]]",percentage,PASS,domains model-human pairs relation percentage 1,
R199,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""8""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 12, proportion_of_nonidentical_nonempty_pairs","[[""0.080402010050251257""]]",percentage,PASS,domains model-human pairs relation percentage 2,
R200,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""40""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 13, proportion_of_nonidentical_nonempty_pairs","[[""0.4020100502512563""]]",percentage,PASS,domains model-human pairs relation percentage 3,
R201,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""199""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 11, nonidentical_nonempty_pairs","[[""199""]]",exact,PASS,domains model-human pairs eligible pairs,
R202,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""14""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 17, proportion_of_nonidentical_nonempty_pairs","[[""0.13970588235294118""]]",percentage,PASS,purposes human pairs relation percentage 1,
R203,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""0""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 18, proportion_of_nonidentical_nonempty_pairs","[[""0.0036764705882352941""]]",percentage,PASS,purposes human pairs relation percentage 2,
R204,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""86""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 19, proportion_of_nonidentical_nonempty_pairs","[[""0.85661764705882348""]]",percentage,PASS,purposes human pairs relation percentage 3,
R205,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""272""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 17, nonidentical_nonempty_pairs","[[""272""]]",exact,PASS,purposes human pairs eligible pairs,
R206,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""15""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 23, proportion_of_nonidentical_nonempty_pairs","[[""0.14814814814814814""]]",percentage,PASS,purposes model-human pairs relation percentage 1,
R207,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""1""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 24, proportion_of_nonidentical_nonempty_pairs","[[""0.014814814814814815""]]",percentage,PASS,purposes model-human pairs relation percentage 2,
R208,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""84""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 25, proportion_of_nonidentical_nonempty_pairs","[[""0.83703703703703702""]]",percentage,PASS,purposes model-human pairs relation percentage 3,
R209,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""270""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 23, nonidentical_nonempty_pairs","[[""270""]]",exact,PASS,purposes model-human pairs eligible pairs,
R210,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""0.015""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 24, proportion_of_nonidentical_nonempty_pairs","[[""0.014814814814814815""]]",rounded,PASS,purposes model-human overlap full precision,
R211,scratch_coder_figure_revisions_log_pass2.md,E.4,"[""4"", ""270""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 24, count; analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 24, nonidentical_nonempty_pairs","[[""4""], [""270""]]",exact,PASS,purposes model-human overlap count and denominator,
R212,scratch_coder_figure_revisions_log_pass2.md,T5.2,"[""1"", ""<1""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 18, count; analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 18, proportion_of_nonidentical_nonempty_pairs","[[""1""], [""0.0036764705882352941""]]",exact count; nonzero percentage below 1%,PASS,purposes human overlap cell,
R213,scratch_coder_figure_revisions_log_pass2.md,E.5,"[""7""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 29, nonidentical_nonempty_pairs","[[""7""]]",exact,PASS,human tag eligible pairs,
R214,scratch_coder_figure_revisions_log_pass2.md,E.5,"[""6""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 35, nonidentical_nonempty_pairs","[[""6""]]",exact,PASS,model-human tag eligible pairs,
R215,scratch_coder_figure_revisions_log_pass2.md,O.1,"[""3"", ""75""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 40, count; denominator","[[""3""], [""75""]]",exact,PASS,hard-case Research Domains majority Unclear,
R216,scratch_coder_figure_revisions_log_pass2.md,O.1,"[""20"", ""75""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 53, count; denominator","[[""20""], [""75""]]",exact,PASS,hard-case Analytical Purposes majority Unclear,
R217,scratch_coder_figure_revisions_log_pass2.md,O.1,"[""19"", ""11"", ""13"", ""5""]",S2T015,"analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 2, model_positive_n; analysis/scratch_coder_results/results.md::S2T015.r9 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 2, human_majority_positive_n; analysis/scratch_coder_results/results.md::S2T015.r7 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 2, fp; analysis/scratch_coder_results/results.md::S2T015.r3 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 2, fn; analysis/scratch_coder_results/results.md::S2T015.r4 estimate","[[""19"", ""19""], [""11"", ""11""], [""13"", ""13""], [""5"", ""5""]]",exact,PASS,equity baseline diagnostics,
R218,scratch_coder_figure_revisions_log_pass2.md,O.1,"[""8"", ""8"", ""3"", ""3""]",S2T017,"analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 4, model_positive_n; analysis/scratch_coder_results/results.md::S2T017.r9 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 4, human_majority_positive_n; analysis/scratch_coder_results/results.md::S2T017.r7 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 4, fp; analysis/scratch_coder_results/results.md::S2T017.r3 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 4, fn; analysis/scratch_coder_results/results.md::S2T017.r4 estimate","[[""8"", ""8""], [""8"", ""8""], [""3"", ""3""], [""3"", ""3""]]",exact,PASS,equity hard-case diagnostics,
R219,scratch_coder_figure_revisions_log_pass2.md,O.1,"[""6"", ""6"", ""0"", ""0""]",S2T018,"analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 5, model_positive_n; analysis/scratch_coder_results/results.md::S2T018.r9 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 5, human_majority_positive_n; analysis/scratch_coder_results/results.md::S2T018.r7 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 5, fp; analysis/scratch_coder_results/results.md::S2T018.r3 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 5, fn; analysis/scratch_coder_results/results.md::S2T018.r4 estimate","[[""6"", ""6""], [""6"", ""6""], [""0"", ""0""], [""0"", ""0""]]",exact,PASS,COVID hard-case diagnostics,
R220,scratch_coder_figure_revisions_log_pass2.md,O.1,"[""11"", ""12"", ""37""]",,,,not checked,NOT CHECKED,post-exclusion accompanying tag-disagreement frame counts,Stated source is a record-level cross-model comparison; opening it is forbidden for this run.
R221,scratch_coder_figure_revisions_log_pass2.md,O.4,"[""92"", ""150"", ""0.613"", ""0.533"", ""0.688""]",S8T003,"analysis/outputs_validation_scratch_20260824/sufficiency_record_distribution.csv::CSV row 2, count; analysis/scratch_coder_results/results.md::S8T003.r1 estimate; analysis/figure_data/scratch_coder_supplementary_table_s1_majority_coverage.csv::CSV row 2, source_value_string; denominator; analysis/outputs_validation_scratch_20260824/sufficiency_record_distribution.csv::CSV row 2, proportion; analysis/scratch_coder_results/results.md::S8T003.r2 estimate; analysis/figure_data/scratch_coder_supplementary_table_s1_majority_coverage.csv::CSV row 3, source_value_string; analysis/outputs_validation_scratch_20260824/sufficiency_subset_summary.csv::CSV row 3, ci_lower; analysis/scratch_coder_results/results.md::S8T003.r2 interval_lower; analysis/figure_data/scratch_coder_supplementary_table_s1_majority_coverage.csv::CSV row 3, interval_lower_string; analysis/outputs_validation_scratch_20260824/sufficiency_subset_summary.csv::CSV row 3, ci_upper; analysis/scratch_coder_results/results.md::S8T003.r2 interval_upper; analysis/figure_data/scratch_coder_supplementary_table_s1_majority_coverage.csv::CSV row 3, interval_upper_string","[[""92"", ""92"", ""92""], [""150""], [""0.6133333333333333"", ""0.6133333333333333"", ""0.6133333333333333""], [""0.5334979124018292"", ""0.5334979124018292"", ""0.5334979124018292""], [""0.6875088322080735"", ""0.6875088322080735"", ""0.6875088322080735""]]",rounded,PASS,majority Sufficient proportion,
R222,scratch_coder_figure_revisions_log_pass2.md,O.5,"[""4"", ""6""]",,,,not checked,NOT CHECKED,eligible purpose and domain label counts,Counts are not exported as source cells and counting eligibility flags is not an approved derivation.
R223,scratch_coder_figure_revisions_log_pass2.md,O.6,"[""86""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 19, proportion_of_nonidentical_nonempty_pairs","[[""0.85661764705882348""]]",percentage,PASS,human-pair disjoint percentage,
R224,scratch_coder_figure_revisions_log_pass2.md,O.6,"[""84""]",disagreement_type_distribution.csv,"analysis/outputs_disagreement_types_20260909T084916Z/disagreement_type_distribution.csv::CSV row 25, proportion_of_nonidentical_nonempty_pairs","[[""0.83703703703703702""]]",percentage,PASS,model-human disjoint percentage,
F001,scratch_coder_interpretive_findings.md,preamble,"[""95""]",S5T005,confidence_level,"[[""95%""]]",exact,PASS,kappa interval confidence level,
F002,scratch_coder_interpretive_findings.md,preamble,"[""95""]",S8T003,confidence_level,"[[""95%""]]",exact,PASS,Wilson interval confidence level,
F003,scratch_coder_interpretive_findings.md,F.1,"[""13""]",S5T001,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 13, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T001.r67 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 13, source_value_string","[[""13"", ""13"", ""13""]]",exact,PASS,domain majority Unclear,
F004,scratch_coder_interpretive_findings.md,F.1,"[""26""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 21, baseline_human_majority_positive_n; analysis/scratch_coder_results/results.md::S5T002.r43 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 21, source_value_string","[[""26"", ""26"", ""26""]]",exact,PASS,purpose majority Unclear,
F005,scratch_coder_interpretive_findings.md,F.1,"[""1""]",S5T001,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 13, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T001.r69 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 13, interval_lower_string","[[""1"", ""1"", ""1""]]",exact,PASS,domain model Unclear,
F006,scratch_coder_interpretive_findings.md,F.1,"[""1""]",S5T002,"analysis/outputs_validation_scratch_stage_b_20260825/label_support.csv::CSV row 21, baseline_model_positive_n; analysis/scratch_coder_results/results.md::S5T002.r45 estimate; analysis/figure_data/scratch_coder_figure_3_label_application_patterns.csv::CSV row 21, interval_lower_string","[[""1"", ""1"", ""1""]]",exact,PASS,purpose model Unclear,
F007,scratch_coder_interpretive_findings.md,F.1,"[""19"", ""11"", ""13"", ""5""]",S2T015,"analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 2, model_positive_n; analysis/scratch_coder_results/results.md::S2T015.r9 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 2, human_majority_positive_n; analysis/scratch_coder_results/results.md::S2T015.r7 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 2, fp; analysis/scratch_coder_results/results.md::S2T015.r3 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 2, fn; analysis/scratch_coder_results/results.md::S2T015.r4 estimate","[[""19"", ""19""], [""11"", ""11""], [""13"", ""13""], [""5"", ""5""]]",exact,PASS,baseline equity diagnostics,
F008,scratch_coder_interpretive_findings.md,F.2,"[""0.15"", ""0.32""]",S5T005,minimum stated set; maximum stated set,"[[""0.23832092078537598"", ""0.15014164305949007"", ""0.32195975503062135""], [""0.23832092078537598"", ""0.15014164305949007"", ""0.32195975503062135""]]",rounded,PASS,domain human Unclear kappa range,
F009,scratch_coder_interpretive_findings.md,F.2,"[""0.04"", ""0.24""]",S5T005,minimum stated set; maximum stated set,"[[""0.24114671163574875"", ""0.12241224122412374"", ""0.037487335359675876""], [""0.24114671163574875"", ""0.12241224122412374"", ""0.037487335359675876""]]",rounded,PASS,domain Fable Unclear kappa range,
F010,scratch_coder_interpretive_findings.md,F.2,"[""0.24"", ""0.40""]",S5T006,minimum stated set; maximum stated set,"[[""0.4011976047904193"", ""0.27295191028321614"", ""0.23631123919308347""], [""0.4011976047904193"", ""0.27295191028321614"", ""0.23631123919308347""]]",rounded,PASS,purpose human Unclear kappa range,
F011,scratch_coder_interpretive_findings.md,F.2,"[""0.02"", ""0.11""]",S5T006,minimum stated set; maximum stated set,"[[""0.07146876758581891"", ""0.1139240506329105"", ""0.016056393185823404""], [""0.07146876758581891"", ""0.1139240506329105"", ""0.016056393185823404""]]",rounded,PASS,purpose Fable Unclear kappa range,
F012,scratch_coder_interpretive_findings.md,F.2,"[""0""]",S5T006,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_pairwise_kappa.csv::CSV row 59, ci_lower; analysis/scratch_coder_results/results.md::S5T006.r22 interval_lower; analysis/figure_data/scratch_coder_table_2_pairwise_kappa_purposes.csv::CSV row 47, interval_lower_string","[[""0.0"", ""0.0"", ""0.0""]]",exact,PASS,purpose Unclear L-A lower bound,
F013,scratch_coder_interpretive_findings.md,F.2,"[""0""]",S5T006,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_pairwise_kappa.csv::CSV row 60, ci_lower; analysis/scratch_coder_results/results.md::S5T006.r23 interval_lower; analysis/figure_data/scratch_coder_table_2_pairwise_kappa_purposes.csv::CSV row 48, interval_lower_string","[[""0.0"", ""0.0"", ""0.0""]]",exact,PASS,purpose Unclear L-B lower bound,
F014,scratch_coder_interpretive_findings.md,F.2,"[""0""]",S5T006,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_pairwise_kappa.csv::CSV row 61, ci_lower; analysis/scratch_coder_results/results.md::S5T006.r24 interval_lower; analysis/figure_data/scratch_coder_table_2_pairwise_kappa_purposes.csv::CSV row 49, interval_lower_string","[[""0.0"", ""0.0"", ""0.0""]]",exact,PASS,purpose Unclear L-C lower bound,
F015,scratch_coder_interpretive_findings.md,F.3,"[""20"", ""75"", ""27""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 53, count; denominator; count / denominator","[[""20""], [""75""], [""20"", ""75""]]",exact numerator/denominator; percentage scaling and half-up,PASS,hard-case purposes Unclear-only share,
F016,scratch_coder_interpretive_findings.md,F.3,"[""26"", ""150"", ""17""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 26, count; denominator; count / denominator","[[""26""], [""150""], [""26"", ""150""]]",exact numerator/denominator; percentage scaling and half-up,PASS,baseline purposes Unclear-only share,
F017,scratch_coder_interpretive_findings.md,F.13,"[""21"", ""4"", ""35""]",S5T003,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 9, fp; analysis/scratch_coder_results/results.md::S5T003.r84 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 9, fp_string; analysis/figure_data/scratch_coder_figure_4.csv::CSV row 9, fp_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 52, source_value_string; analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 9, fn; analysis/scratch_coder_results/results.md::S5T003.r85 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 9, fn_string; analysis/figure_data/scratch_coder_figure_4.csv::CSV row 9, fn_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 53, source_value_string; analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 9, tp; analysis/scratch_coder_results/results.md::S5T003.r83 estimate; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 51, source_value_string","[[""21"", ""21"", ""21"", ""21"", ""21""], [""4"", ""4"", ""4"", ""4"", ""4""], [""35"", ""35"", ""35""]]",exact,PASS,Labour Market & Employment contingency values,
F018,scratch_coder_interpretive_findings.md,F.13,"[""6"", ""4""]",S5T003,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 6, fp; analysis/scratch_coder_results/results.md::S5T003.r51 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 6, fp_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 31, source_value_string; analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 6, tp; analysis/scratch_coder_results/results.md::S5T003.r50 estimate; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 30, source_value_string","[[""6"", ""6"", ""6"", ""6""], [""4"", ""4"", ""4""]]",exact,PASS,Environment & Agriculture contingency values,
F019,scratch_coder_interpretive_findings.md,F.13,"[""4"", ""0""]",S5T003,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 4, fp; analysis/scratch_coder_results/results.md::S5T003.r29 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 4, fp_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 17, source_value_string; analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 4, tp; analysis/scratch_coder_results/results.md::S5T003.r28 estimate; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 16, source_value_string","[[""4"", ""4"", ""4"", ""4""], [""0"", ""0"", ""0""]]",exact,PASS,Data Infrastructure & Methodology contingency values,
F020,scratch_coder_interpretive_findings.md,F.13,"[""1"", ""0""]",S5T003,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 8, fp; analysis/scratch_coder_results/results.md::S5T003.r73 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 8, fp_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 45, source_value_string; analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 8, tp; analysis/scratch_coder_results/results.md::S5T003.r72 estimate; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 44, source_value_string","[[""1"", ""1"", ""1"", ""1""], [""0"", ""0"", ""0""]]",exact,PASS,Housing & Planning contingency values,
F021,scratch_coder_interpretive_findings.md,F.13,"[""4"", ""5""]",S5T003,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 11, fp; analysis/scratch_coder_results/results.md::S5T003.r106 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 11, fp_string; analysis/figure_data/scratch_coder_figure_4.csv::CSV row 11, fp_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 66, source_value_string; analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 11, fn; analysis/scratch_coder_results/results.md::S5T003.r107 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 11, fn_string; analysis/figure_data/scratch_coder_figure_4.csv::CSV row 11, fn_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 67, source_value_string","[[""4"", ""4"", ""4"", ""4"", ""4""], [""5"", ""5"", ""5"", ""5"", ""5""]]",exact,PASS,"Poverty, Wealth & Living Standards contingency values",
F022,scratch_coder_interpretive_findings.md,F.13,"[""2"", ""5""]",S5T003,"analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 10, fp; analysis/scratch_coder_results/results.md::S5T003.r95 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 10, fp_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 59, source_value_string; analysis/outputs_validation_scratch_stage_b_20260825/per_label_contingencies.csv::CSV row 10, fn; analysis/scratch_coder_results/results.md::S5T003.r96 estimate; analysis/figure_data/scratch_coder_figure_3.csv::CSV row 10, fn_string; analysis/figure_data/scratch_coder_table_3_contingencies_performance_domains.csv::CSV row 60, source_value_string","[[""2"", ""2"", ""2"", ""2""], [""5"", ""5"", ""5"", ""5""]]",exact,PASS,Migration & Demographics contingency values,
