claim_id,origin,log_item,claim,mapped_check,status,reason
I.V4.4.domains.human_human,v2 sections V1-V8,E.4; T5.2,"V4.4.domains.human_human: [0, 0, 0]",V4.4.domains.human_human,PASS,
I.V4.2.domains.model_human,v2 sections V1-V8,E.4; T5.2,"V4.2.domains.model_human: {'counts': [103, 16, 80], 'denominator': 199}",V4.2.domains.model_human,PASS,
I.V4.3.domains.model_human,v2 sections V1-V8,E.4; T5.2,"V4.3.domains.model_human: [52, 8, 40]",V4.3.domains.model_human,PASS,
I.V4.4.domains.model_human,v2 sections V1-V8,E.4; T5.2,"V4.4.domains.model_human: [0, 0, 0]",V4.4.domains.model_human,PASS,
I.V4.2.purposes.human_human,v2 sections V1-V8,E.4; T5.2,"V4.2.purposes.human_human: {'counts': [38, 1, 233], 'denominator': 272}",V4.2.purposes.human_human,PASS,
I.V4.3.purposes.human_human,v2 sections V1-V8,E.4; T5.2,"V4.3.purposes.human_human: [14, 0, 86]",V4.3.purposes.human_human,PASS,
I.V4.4.purposes.human_human,v2 sections V1-V8,E.4; T5.2,"V4.4.purposes.human_human: [0, 0, 0]",V4.4.purposes.human_human,PASS,
I.V4.2.purposes.model_human,v2 sections V1-V8,E.4; T5.2,"V4.2.purposes.model_human: {'counts': [40, 4, 226], 'denominator': 270}",V4.2.purposes.model_human,PASS,
I.V4.3.purposes.model_human,v2 sections V1-V8,E.4; T5.2,"V4.3.purposes.model_human: [15, 1, 84]",V4.3.purposes.model_human,PASS,
I.V4.4.purposes.model_human,v2 sections V1-V8,E.4; T5.2,"V4.4.purposes.model_human: [0, 0, 0]",V4.4.purposes.model_human,PASS,
I.V4.5,v2 sections V1-V8,findings log,"V4.5: {'human_human': [30, 7], 'model_human': [45, 6]}",V4.5,PASS,
I.V5.1.prerequisite.baseline.purposes,v2 sections V1-V8,G.12,V5.1.prerequisite.baseline.purposes: 0,V5.1.prerequisite.baseline.purposes,PASS,
I.V5.1.baseline.purposes,v2 sections V1-V8,G.12,V5.1.baseline.purposes: 97,V5.1.baseline.purposes,PASS,
I.V5.1.full.baseline.purposes,v2 sections V1-V8,G.12,"V5.1.full.baseline.purposes: [24, 3, 0, 0, 100]",V5.1.full.baseline.purposes,PASS,
I.V5.2.baseline.purposes,v2 sections V1-V8,G.12,"V5.2.baseline.purposes: [16, 17, 65, 2, 0]",V5.2.baseline.purposes,PASS,
I.V5.1.prerequisite.baseline.domains,v2 sections V1-V8,G.12,V5.1.prerequisite.baseline.domains: 0,V5.1.prerequisite.baseline.domains,PASS,
I.V5.1.baseline.domains,v2 sections V1-V8,G.12,V5.1.baseline.domains: 107,V5.1.baseline.domains,PASS,
I.V5.1.full.baseline.domains,v2 sections V1-V8,G.12,"V5.1.full.baseline.domains: [5, 22, 3, 0, 132]",V5.1.full.baseline.domains,PASS,
I.V5.2.baseline.domains,v2 sections V1-V8,G.12,"V5.2.baseline.domains: [3, 9, 71, 15, 2]",V5.2.baseline.domains,PASS,
I.V5.1.prerequisite.hard_case.purposes,v2 sections V1-V8,G.12,V5.1.prerequisite.hard_case.purposes: 0,V5.1.prerequisite.hard_case.purposes,PASS,
I.V5.1.hard_case.purposes,v2 sections V1-V8,G.12,V5.1.hard_case.purposes: 42,V5.1.hard_case.purposes,PASS,
I.V5.1.full.hard_case.purposes,v2 sections V1-V8,G.12,"V5.1.full.hard_case.purposes: [9, 4, 0, 0, 46]",V5.1.full.hard_case.purposes,PASS,
I.V5.2.hard_case.purposes,v2 sections V1-V8,G.12,"V5.2.hard_case.purposes: [12, 27, 56, 5, 0]",V5.2.hard_case.purposes,PASS,
I.V5.1.prerequisite.hard_case.domains,v2 sections V1-V8,G.12,V5.1.prerequisite.hard_case.domains: 0,V5.1.prerequisite.hard_case.domains,PASS,
I.V5.1.hard_case.domains,v2 sections V1-V8,G.12,V5.1.hard_case.domains: 45,V5.1.hard_case.domains,PASS,
I.V5.1.full.hard_case.domains,v2 sections V1-V8,G.12,"V5.1.full.hard_case.domains: [6, 18, 3, 0, 66]",V5.1.full.hard_case.domains,PASS,
I.V5.2.hard_case.domains,v2 sections V1-V8,G.12,"V5.2.hard_case.domains: [8, 4, 60, 24, 4]",V5.2.hard_case.domains,PASS,
I.V5.3.S5T001,v2 sections V1-V8,G.12,"V5.3.S5T001: [199, 173]",V5.3.S5T001,PASS,
I.V5.4.S5T001,v2 sections V1-V8,G.12,"V5.4.S5T001: [198, 160]",V5.4.S5T001,PASS,
I.V5.3.S5T002,v2 sections V1-V8,G.12,"V5.3.S5T002: [160, 129]",V5.3.S5T002,PASS,
I.V5.4.S5T002,v2 sections V1-V8,G.12,"V5.4.S5T002: [159, 103]",V5.4.S5T002,PASS,
I.V8.1.A-B,v2 sections V1-V8,G.14; P.3; P.4,V8.1.A-B: -0.000,V8.1.A-B,DISCREPANCY,
I.V8.1.L-C,v2 sections V1-V8,G.14; P.3; P.4,V8.1.L-C: -0.000,V8.1.L-C,PASS,
I.V7.named.S5T002.30,v2 sections V1-V8,P.2; C.2; D.1,V7.named.S5T002.30: 30,V7.named.S5T002.30,PASS,Policy Evaluation / Impact Analysis
I.V7.named.S5T002.36,v2 sections V1-V8,P.2; C.2; D.1,V7.named.S5T002.36: 36,V7.named.S5T002.36,PASS,Descriptive Monitoring
I.V7.named.S5T002.19,v2 sections V1-V8,P.2; C.2; D.1,V7.named.S5T002.19: 19,V7.named.S5T002.19,PASS,Outcome Tracking
I.V7.named.S5T001.13,v2 sections V1-V8,P.2; C.2; D.1,V7.named.S5T001.13: 13,V7.named.S5T001.13,PASS,Unclear from Register Entry
I.V7.named.S5T002.26,v2 sections V1-V8,P.2; C.2; D.1,V7.named.S5T002.26: 26,V7.named.S5T002.26,PASS,Unclear from Register Entry
I.V8.2.Outcome.A-C,v2 sections V1-V8,P.3; P.4,V8.2.Outcome.A-C: -0.07,V8.2.Outcome.A-C,PASS,
I.V8.2.Outcome.B-C,v2 sections V1-V8,P.3; P.4,V8.2.Outcome.B-C: -0.04,V8.2.Outcome.B-C,PASS,
I.V8.2.Unclear.L-A,v2 sections V1-V8,P.3; P.4,V8.2.Unclear.L-A: 0,V8.2.Unclear.L-A,PASS,
I.V8.2.Unclear.L-B,v2 sections V1-V8,P.3; P.4,V8.2.Unclear.L-B: 0,V8.2.Unclear.L-B,PASS,
I.V8.2.Unclear.L-C,v2 sections V1-V8,P.3; P.4,V8.2.Unclear.L-C: 0,V8.2.Unclear.L-C,PASS,
I.V8.3.S5T007.precision,v2 sections V1-V8,C.4; D.2,"V8.3.S5T007.precision: ['1284', '716', 2000, 1800]",V8.3.S5T007.precision,PASS,
I.V8.3.S5T007.f1,v2 sections V1-V8,C.4; D.2,"V8.3.S5T007.f1: ['1284', '716', 2000, 1800]",V8.3.S5T007.f1,PASS,
I.V8.3.S5T007.recall,v2 sections V1-V8,C.4; D.2,"V8.3.S5T007.recall: ['0.077', '0.000', '0.250']",V8.3.S5T007.recall,PASS,
I.V8.3.S5T008.precision,v2 sections V1-V8,C.4; D.2,"V8.3.S5T008.precision: ['1233', '767', 2000, 1800]",V8.3.S5T008.precision,PASS,
I.V8.3.S5T008.f1,v2 sections V1-V8,C.4; D.2,"V8.3.S5T008.f1: ['1233', '767', 2000, 1800]",V8.3.S5T008.f1,PASS,
I.V8.3.S5T008.recall,v2 sections V1-V8,C.4; D.2,"V8.3.S5T008.recall: ['0.038', '0.000', '0.125']",V8.3.S5T008.recall,PASS,
REMAINDER,missing governing log,all other log items,Additional quantitative claims cannot be enumerated without the governing log.,,NOT CHECKED,Log absent; no attached copy. Not counted as an enumerated quantitative claim.
